id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
HV1 Bus 17;busbar;1.025;0.0;110;0.9;1.1;HV1_MV1.101_Substation;coord_1;HV1_MV1.101;3
MV1.101 busbar1.1;busbar;1.025;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_2;MV1.101;5
MV1.101 Bus 4;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_3;MV1.101_LV1.101_Feeder1;5
MV1.101 Bus 5;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_4;MV1.101_LV1.102_Feeder1;5
MV1.101 Bus 6;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_5;MV1.101_LV1.103_Feeder1;5
MV1.101 Bus 7;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_6;MV1.101_LV1.104_Feeder1;5
MV1.101 Bus 8;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_7;MV1.101_LV2.101_Feeder1;5
MV1.101 Bus 9;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_8;MV1.101_LV2.102_Feeder1;5
MV1.101 Bus 10;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_9;MV1.101_LV2.103_Feeder1;5
MV1.101 Bus 11;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_10;MV1.101_LV2.104_Feeder1;5
MV1.101 Bus 12;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_11;MV1.101_LV3.101_Feeder1;5
MV1.101 Bus 13;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_12;MV1.101_LV2.105_Feeder1;5
MV1.101 Bus 14;node;NULL;NULL;20;0.965;1.055;NULL;coord_13;MV1.101_Feeder1;5
MV1.101 Bus 15;node;NULL;NULL;20;0.965;1.055;NULL;coord_14;MV1.101_Feeder1;5
MV1.101 Bus 16;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_15;MV1.101_LV2.106_Feeder2;5
MV1.101 Bus 17;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_16;MV1.101_LV3.102_Feeder2;5
MV1.101 Bus 18;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_17;MV1.101_LV2.107_Feeder2;5
MV1.101 Bus 19;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_18;MV1.101_LV1.105_Feeder2;5
MV1.101 Bus 20;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_19;MV1.101_LV1.106_Feeder2;5
MV1.101 Bus 21;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_20;MV1.101_LV1.107_Feeder2;5
MV1.101 Bus 22;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_21;MV1.101_LV1.108_Feeder2;5
MV1.101 Bus 23;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_22;MV1.101_LV2.108_Feeder2;5
