id;node;type;profile;pStor;qStor;chargeLevel;sR;eStore;etaStore;sdStore;pMin;pMax;qMin;qMax;subnet;voltLvl
MV1.101 MV Storage 1;MV1.101 Bus 4;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.101_eq;5
MV1.101 MV Storage 2;MV1.101 Bus 5;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.102_eq;5
MV1.101 MV Storage 3;MV1.101 Bus 6;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.103_eq;5
MV1.101 MV Storage 4;MV1.101 Bus 7;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.104_eq;5
MV1.101 MV Storage 5;MV1.101 Bus 19;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.105_eq;5
MV1.101 MV Storage 6;MV1.101 Bus 20;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.106_eq;5
MV1.101 MV Storage 7;MV1.101 Bus 21;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.107_eq;5
MV1.101 MV Storage 8;MV1.101 Bus 22;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.108_eq;5
MV1.101 MV Storage 9;MV1.101 Bus 25;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.109_eq;5
MV1.101 MV Storage 10;MV1.101 Bus 27;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.110_eq;5
MV1.101 MV Storage 11;MV1.101 Bus 28;PV_Storage;lv_rural1;-0.1558;0;0;0.1558;0.3115;0.95;0.13;-0.1558;0;-0.1558;0.1558;MV1.101_LV1.111_eq;5
