node;vm;va;substation;subnet;voltLvl
HV1 Bus 17;1.025;0;HV1_MV1.101_Substation;HV1_MV1.101;3
MV1.101 busbar1.1;1.00182;4.29076;HV1_MV1.101_Substation;MV1.101;5
MV1.101 Bus 4;1.00397;4.35278;NULL;MV1.101_LV1.101;5
MV1.101 Bus 5;1.00563;4.40093;NULL;MV1.101_LV1.102;5
MV1.101 Bus 6;1.00685;4.43666;NULL;MV1.101_LV1.103;5
MV1.101 Bus 7;1.0047;4.73936;NULL;MV1.101_LV1.104;5
MV1.101 Bus 8;1.00463;4.74578;NULL;MV1.101_LV2.101;5
MV1.101 Bus 9;1.0045;4.75627;NULL;MV1.101_LV2.102;5
MV1.101 Bus 10;1.0042;4.77453;NULL;MV1.101_LV2.103;5
MV1.101 Bus 11;1.00412;4.77839;NULL;MV1.101_LV2.104;5
MV1.101 Bus 12;1.00401;4.78117;NULL;MV1.101_LV3.101;5
MV1.101 Bus 13;1.00448;4.75943;NULL;MV1.101_LV2.105;5
MV1.101 Bus 14;1.05084;5.65304;NULL;MV1.101_Feeder1;5
MV1.101 Bus 15;1.05187;5.68484;NULL;MV1.101_Feeder1;5
MV1.101 Bus 16;1.00231;4.32798;NULL;MV1.101_LV2.106;5
MV1.101 Bus 17;1.00253;4.34242;NULL;MV1.101_LV3.102;5
MV1.101 Bus 18;1.0029;4.36119;NULL;MV1.101_LV2.107;5
MV1.101 Bus 19;1.00758;4.72566;NULL;MV1.101_LV1.105;5
MV1.101 Bus 20;1.01183;5.07022;NULL;MV1.101_LV1.106;5
MV1.101 Bus 21;1.01241;5.09226;NULL;MV1.101_LV1.107;5
MV1.101 Bus 22;1.01264;5.10428;NULL;MV1.101_LV1.108;5
MV1.101 Bus 23;1.01263;5.10648;NULL;MV1.101_LV2.108;5
MV1.101 Bus 24;1.01261;5.10937;NULL;MV1.101_LV2.109;5
MV1.101 Bus 25;1.01244;4.55043;NULL;MV1.101_LV1.109;5
MV1.101 Bus 26;1.01778;4.68234;NULL;MV1.101_LV2.110;5
MV1.101 Bus 27;1.0224;4.88024;NULL;MV1.101_LV1.110;5
MV1.101 Bus 28;1.02679;5.02474;NULL;MV1.101_LV1.111;5
MV1.101 Bus 29;1.02428;4.94784;NULL;MV1.101_LV1.112;5
MV1.101 Bus 30;1.00182;4.30822;NULL;MV1.101_LV1.113;5
MV1.101 Bus 31;1.00128;4.37262;NULL;MV1.101_LV2.111;5
MV1.101 Bus 32;1.0012;4.38173;NULL;MV1.101_LV2.112;5
MV1.101 Bus 33;1.00115;4.38822;NULL;MV1.101_LV2.113;5
MV1.101 Bus 34;1.00109;4.39577;NULL;MV1.101_LV2.114;5
MV1.101 Bus 35;1.00089;4.41885;NULL;MV1.101_LV2.115;5
MV1.101 Bus 36;1.00071;4.44063;NULL;MV1.101_LV2.116;5
MV1.101 Bus 37;1.00067;4.44819;NULL;MV1.101_LV2.117;5
MV1.101 Bus 38;1.00064;4.45327;NULL;MV1.101_LV2.118;5
MV1.101 Bus 39;1.00064;4.45475;NULL;MV1.101_LV2.119;5
MV1.101 Bus 40;1.02308;5.03604;NULL;MV1.101_LV1.114;5
MV1.101 Bus 41;1.02587;5.1304;NULL;MV1.101_LV1.115;5
MV1.101 Bus 42;1.05492;6.08037;NULL;MV1.101_LV2.120;5
MV1.101 Bus 43;1.05716;6.12452;NULL;MV1.101_LV1.116;5
MV1.101 Bus 44;1.06627;6.30529;NULL;MV1.101_LV1.117;5
MV1.101 Bus 45;1.06928;6.36966;NULL;MV1.101_LV1.118;5
MV1.101 Bus 46;1.06992;6.3833;NULL;MV1.101_LV1.119;5
MV1.101 Bus 47;1.07031;6.39251;NULL;MV1.101_LV1.120;5
MV1.101 Bus 48;1.01088;4.70415;NULL;MV1.101_LV1.121;5
MV1.101 Bus 49;1.02405;5.30081;NULL;MV1.101_LV2.121;5
MV1.101 Bus 50;1.02739;5.53141;NULL;MV1.101_LV2.122;5
MV1.101 Bus 51;1.03268;5.88295;NULL;MV1.101_LV2.123;5
MV1.101 Bus 52;1.03419;5.97882;NULL;MV1.101_LV4.101;5
MV1.101 Bus 53;1.03483;6.01832;NULL;MV1.101_LV4.102;5
MV1.101 Bus 54;1.0351;6.04943;NULL;MV1.101_LV4.103;5
MV1.101 Bus 55;1.03556;6.08348;NULL;MV1.101_LV4.104;5
MV1.101 Bus 56;1.03585;6.10346;NULL;MV1.101_LV4.105;5
MV1.101 Bus 57;1.03712;6.186;NULL;MV1.101_LV2.124;5
MV1.101 Bus 58;1.03972;6.34464;NULL;MV1.101_LV1.122;5
MV1.101 Bus 59;1.04123;6.45293;NULL;MV1.101_LV1.123;5
MV1.101 Bus 60;1.04247;6.61117;NULL;MV1.101_LV4.106;5
MV1.101 Bus 61;1.0427;6.63967;NULL;MV1.101_LV4.107;5
MV1.101 Bus 62;1.04276;6.65265;NULL;MV1.101_LV2.125;5
MV1.101 Bus 63;1.0428;6.65926;NULL;MV1.101_LV1.124;5
MV1.101 Bus 64;1.04274;6.68041;NULL;MV1.101_LV2.126;5
MV1.101 Bus 65;1.04293;6.69518;NULL;MV1.101_LV4.108;5
MV1.101 Bus 66;1.04302;6.70139;NULL;MV1.101_LV4.109;5
MV1.101 Bus 67;1.04311;6.70582;NULL;MV1.101_LV2.127;5
MV1.101 Bus 68;1.04321;6.70887;NULL;MV1.101_LV1.125;5
MV1.101 Bus 69;1.03567;6.04103;NULL;MV1.101_Feeder6;5
MV1.101 Bus 70;1.03587;6.04795;NULL;MV1.101_LV1.126;5
MV1.101 Bus 71;1.0055;4.65523;NULL;MV1.101_LV2.128;5
MV1.101 Bus 72;1.01322;5.278;NULL;MV1.101_LV3.103;5
MV1.101 Bus 73;1.01361;5.29327;NULL;MV1.101_LV4.110;5
MV1.101 Bus 74;1.01425;5.31432;NULL;MV1.101_LV3.104;5
MV1.101 Bus 75;1.01708;5.37541;NULL;MV1.101_LV1.127;5
MV1.101 Bus 76;1.01834;5.40263;NULL;MV1.101_LV1.128;5
MV1.101 Bus 77;1.01943;5.42734;NULL;MV1.101_LV1.129;5
MV1.101 Bus 78;1.0021;4.31981;NULL;MV1.101_LV2.129;5
MV1.101 Bus 79;1.00245;4.35322;NULL;MV1.101_LV2.130;5
MV1.101 Bus 80;1.00285;4.38872;NULL;MV1.101_LV3.105;5
MV1.101 Bus 81;1.00343;4.43064;NULL;MV1.101_LV2.131;5
MV1.101 Bus 82;1.00402;4.47056;NULL;MV1.101_LV3.106;5
MV1.101 Bus 83;1.00481;4.51554;NULL;MV1.101_LV3.107;5
MV1.101 Bus 84;1.00584;4.56462;NULL;MV1.101_LV2.132;5
MV1.101 Bus 85;1.00704;4.61755;NULL;MV1.101_LV2.133;5
MV1.101 Bus 86;1.0081;4.66111;NULL;MV1.101_LV2.134;5
MV1.101 Bus 87;1.00964;4.71945;NULL;MV1.101_LV1.130;5
MV1.101 Bus 88;1.01689;5.10583;NULL;MV1.101_LV1.131;5
MV1.101 Bus 89;1.02558;5.59526;NULL;MV1.101_LV1.132;5
MV1.101 Bus 90;1.02909;5.81378;NULL;MV1.101_LV1.133;5
MV1.101 Bus 91;1.03498;6.25438;NULL;MV1.101_LV1.134;5
MV1.101 Bus 92;1.03559;6.30635;NULL;MV1.101_LV1.135;5
MV1.101 Bus 93;1.03561;6.32589;NULL;MV1.101_LV2.135;5
MV1.101 Bus 94;1.03564;6.33731;NULL;MV1.101_LV2.136;5
MV1.101 Bus 95;1.03581;6.34423;NULL;MV1.101_LV2.137;5
