node;vm;va;substation;subnet;voltLvl
HV1 Bus 17;1.025;0;HV1_MV1.101_Substation;HV1_MV1.101;3
HV1 Bus 18;1.025;0;HV1_MV1.101_Substation;HV1_MV1.101;3
MV1.101 busbar1.1;1.01366;1.0954;HV1_MV1.101_Substation;MV1.101;5
MV1.101 busbar1.2;1.01366;1.0954;HV1_MV1.101_Substation;MV1.101;5
MV1.101 Bus 4;1.01462;1.12571;NULL;MV1.101_LV1.101_Feeder1;5
MV1.101 Bus 5;1.01541;1.15018;NULL;MV1.101_LV1.102_Feeder1;5
MV1.101 Bus 6;1.01602;1.16911;NULL;MV1.101_LV1.103_Feeder1;5
MV1.101 Bus 7;1.01225;1.21558;NULL;MV1.101_LV1.104_Feeder1;5
MV1.101 Bus 8;1.01216;1.21849;NULL;MV1.101_LV2.101_Feeder1;5
MV1.101 Bus 9;1.012;1.22324;NULL;MV1.101_LV2.102_Feeder1;5
MV1.101 Bus 10;1.01172;1.23107;NULL;MV1.101_LV2.103_Feeder1;5
MV1.101 Bus 11;1.01165;1.23274;NULL;MV1.101_LV2.104_Feeder1;5
MV1.101 Bus 12;1.01158;1.23392;NULL;MV1.101_LV3.101_Feeder1;5
MV1.101 Bus 13;1.01195;1.2253;NULL;MV1.101_LV2.105_Feeder1;5
MV1.101 Bus 14;1.04359;1.94933;NULL;MV1.101_Feeder1;5
MV1.101 Bus 15;1.04462;1.98158;NULL;MV1.101_Feeder1;5
MV1.101 Bus 16;1.01357;1.10402;NULL;MV1.101_LV2.106_Feeder2;5
MV1.101 Bus 17;1.01354;1.10725;NULL;MV1.101_LV3.102_Feeder2;5
MV1.101 Bus 18;1.01355;1.11109;NULL;MV1.101_LV2.107_Feeder2;5
MV1.101 Bus 19;1.01373;1.16913;NULL;MV1.101_LV1.105_Feeder2;5
MV1.101 Bus 20;1.01374;1.22101;NULL;MV1.101_LV1.106_Feeder2;5
MV1.101 Bus 21;1.01375;1.22591;NULL;MV1.101_LV1.107_Feeder2;5
MV1.101 Bus 22;1.01371;1.22869;NULL;MV1.101_LV1.108_Feeder2;5
MV1.101 Bus 23;1.01368;1.22923;NULL;MV1.101_LV2.108_Feeder2;5
MV1.101 Bus 24;1.01363;1.22885;NULL;MV1.101_LV2.109_Feeder2;5
MV1.101 Bus 25;1.01963;1.23497;NULL;MV1.101_LV1.109_Feeder3;5
MV1.101 Bus 26;1.02293;1.31434;NULL;MV1.101_LV2.110_Feeder3;5
MV1.101 Bus 27;1.02321;1.36974;NULL;MV1.101_LV1.110_Feeder3;5
MV1.101 Bus 28;1.02496;1.42822;NULL;MV1.101_LV1.111_Feeder3;5
MV1.101 Bus 29;1.02348;1.38503;NULL;MV1.101_LV1.112_Feeder3;5
MV1.101 Bus 30;1.0135;1.09929;NULL;MV1.101_LV1.113_Feeder4;5
MV1.101 Bus 31;1.01262;1.11541;NULL;MV1.101_LV2.111_Feeder4;5
MV1.101 Bus 32;1.0125;1.11774;NULL;MV1.101_LV2.112_Feeder4;5
