id;nodeA;nodeB;type;length;loadingMax;subnet;voltLvl
MV1.101 Line 1;MV1.101 busbar1.1_2;MV1.101 Bus 4_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.3;100;MV1.101_Feeder1;5
MV1.101 Line 2;MV1.101 Bus 4_2;MV1.101 Bus 5_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.25;100;MV1.101_Feeder1;5
MV1.101 Line 3;MV1.101 Bus 5_2;MV1.101 Bus 6_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.2;100;MV1.101_Feeder1;5
MV1.101 Line 4;MV1.101 Bus 6_2;MV1.101 Bus 7_1;70-AL1/11-ST1A 20.0;4.9;100;MV1.101_Feeder1;5
MV1.101 Line 5;MV1.101 Bus 7_2;MV1.101 Bus 8_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.15;100;MV1.101_Feeder1;5
MV1.101 Line 6;MV1.101 Bus 8_2;MV1.101 Bus 9_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.3;100;MV1.101_Feeder1;5
MV1.101 Line 7;MV1.101 Bus 9_2;MV1.101 Bus 10_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.8;100;MV1.101_Feeder1;5
MV1.101 Line 8;MV1.101 Bus 10_2;MV1.101 Bus 11_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.25;100;MV1.101_Feeder1;5
MV1.101 Line 9;MV1.101 Bus 11_2;MV1.101 Bus 12_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.36;100;MV1.101_Feeder1;5
MV1.101 Line 10;MV1.101 Bus 9_3;MV1.101 Bus 13_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.6;100;MV1.101_Feeder1;5
MV1.101 Line 11;MV1.101 Bus 6_3;MV1.101 Bus 14_1;34-AL1/6-ST1A 20.0;4.2;100;MV1.101_Feeder1;5
MV1.101 Line 12;MV1.101 Bus 14_2;MV1.101 Bus 15_1;34-AL1/6-ST1A 20.0;0.4;100;MV1.101_Feeder1;5
MV1.101 Line 13;MV1.101 busbar1.1_3;MV1.101 Bus 16_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.6;100;MV1.101_Feeder2;5
MV1.101 Line 14;MV1.101 Bus 16_2;MV1.101 Bus 17_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.25;100;MV1.101_Feeder2;5
MV1.101 Line 15;MV1.101 Bus 17_2;MV1.101 Bus 18_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder2;5
MV1.101 Line 16;MV1.101 Bus 18_2;MV1.101 Bus 19_1;70-AL1/11-ST1A 20.0;2.9;100;MV1.101_Feeder2;5
MV1.101 Line 17;MV1.101 Bus 19_2;MV1.101 Bus 20_1;70-AL1/11-ST1A 20.0;3.6;100;MV1.101_Feeder2;5
MV1.101 Line 18;MV1.101 Bus 20_2;MV1.101 Bus 21_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.6;100;MV1.101_Feeder2;5
MV1.101 Line 19;MV1.101 Bus 21_2;MV1.101 Bus 22_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.5;100;MV1.101_Feeder2;5
MV1.101 Line 20;MV1.101 Bus 22_2;MV1.101 Bus 23_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.2;100;MV1.101_Feeder2;5
MV1.101 Line 21;MV1.101 Bus 23_2;MV1.101 Bus 24_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.2;100;MV1.101_Feeder2;5
MV1.101 Line 22;MV1.101 busbar1.1_4;MV1.101 Bus 25_1;NA2XS2Y 1x70 RM/25 12/20 kV;2.6;100;MV1.101_Feeder3;5
MV1.101 Line 23;MV1.101 Bus 25_2;MV1.101 Bus 26_1;NA2XS2Y 1x70 RM/25 12/20 kV;1.5;100;MV1.101_Feeder3;5
MV1.101 Line 24;MV1.101 Bus 26_2;MV1.101 Bus 27_1;34-AL1/6-ST1A 20.0;1.8;100;MV1.101_Feeder3;5
MV1.101 Line 25;MV1.101 Bus 27_2;MV1.101 Bus 28_1;34-AL1/6-ST1A 20.0;3.3;100;MV1.101_Feeder3;5
MV1.101 Line 26;MV1.101 Bus 27_3;MV1.101 Bus 29_1;34-AL1/6-ST1A 20.0;2;100;MV1.101_Feeder3;5
MV1.101 Line 27;MV1.101 busbar1.1_5;MV1.101 Bus 30_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.4;100;MV1.101_Feeder4;5
MV1.101 Line 28;MV1.101 Bus 30_2;MV1.101 Bus 31_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.9;100;MV1.101_Feeder4;5
MV1.101 Line 29;MV1.101 Bus 31_2;MV1.101 Bus 32_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.3;100;MV1.101_Feeder4;5
MV1.101 Line 30;MV1.101 Bus 32_2;MV1.101 Bus 33_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.25;100;MV1.101_Feeder4;5
MV1.101 Line 31;MV1.101 Bus 33_2;MV1.101 Bus 34_1;NA2XS2Y 1x120 RM/25 12/20 kV;0.35;100;MV1.101_Feeder4;5
MV1.101 Line 32;MV1.101 Bus 34_2;MV1.101 Bus 35_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.3;100;MV1.101_Feeder4;5
MV1.101 Line 33;MV1.101 Bus 35_2;MV1.101 Bus 36_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.5;100;MV1.101_Feeder4;5
MV1.101 Line 34;MV1.101 Bus 36_2;MV1.101 Bus 37_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.4;100;MV1.101_Feeder4;5
MV1.101 Line 35;MV1.101 Bus 37_2;MV1.101 Bus 38_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.45;100;MV1.101_Feeder4;5
MV1.101 Line 36;MV1.101 Bus 38_2;MV1.101 Bus 39_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.4;100;MV1.101_Feeder4;5
MV1.101 Line 37;MV1.101 busbar1.2_2;MV1.101 Bus 40_1;34-AL1/6-ST1A 20.0;2.7;100;MV1.101_Feeder5;5
MV1.101 Line 38;MV1.101 Bus 40_2;MV1.101 Bus 41_1;34-AL1/6-ST1A 20.0;0.4;100;MV1.101_Feeder5;5
MV1.101 Line 39;MV1.101 Bus 41_2;MV1.101 Bus 42_1;34-AL1/6-ST1A 20.0;5;100;MV1.101_Feeder5;5
MV1.101 Line 40;MV1.101 Bus 42_2;MV1.101 Bus 43_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.7;100;MV1.101_Feeder5;5
MV1.101 Line 41;MV1.101 Bus 43_2;MV1.101 Bus 44_1;NA2XS2Y 1x70 RM/25 12/20 kV;3.4;100;MV1.101_Feeder5;5
MV1.101 Line 42;MV1.101 Bus 44_2;MV1.101 Bus 45_1;NA2XS2Y 1x70 RM/25 12/20 kV;1.7;100;MV1.101_Feeder5;5
MV1.101 Line 43;MV1.101 Bus 45_2;MV1.101 Bus 46_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.5;100;MV1.101_Feeder5;5
MV1.101 Line 44;MV1.101 Bus 46_2;MV1.101 Bus 47_1;NA2XS2Y 1x70 RM/25 12/20 kV;0.8;100;MV1.101_Feeder5;5
MV1.101 Line 45;MV1.101 busbar1.2_3;MV1.101 Bus 48_1;NA2XS2Y 1x120 RM/25 12/20 kV;1.7;100;MV1.101_Feeder6;5
